label,volume_voxels
1,50.0
2,2681.0
3,4573.0
4,37.0
5,161.0
6,233.0
7,2101.0
8,66.0
9,3108.0
10,208.0
11,79.0
12,371.0
13,1035.0
14,83.0
15,2402.0
16,2189.0
17,34.0
18,1760.0
19,1940.0
20,175.0
21,710.0
22,52.0
23,922.0
24,70.0
25,29.0
26,834.0
27,17.0
28,322.0
29,147.0
30,944.0
31,458.0
32,346.0
33,1275.0
34,301.0
35,212.0
36,309.0
37,911.0
38,524.0
39,163.0
40,2179.0
41,201.0
42,220.0
43,99.0
44,820.0
45,165.0
46,377.0
47,24.0
48,596.0
49,581.0
50,540.0
51,500.0
52,414.0
53,502.0
54,109.0
55,7241.0
56,754.0
57,302.0
58,291.0
59,775.0
60,2381.0
61,117.0
62,91.0
63,922.0
64,337.0
65,465.0
66,662.0
67,885.0
68,979.0
69,887.0
70,408.0
71,438.0
72,658.0
73,231.0
74,182.0
75,197.0
76,88.0
77,95.0
78,203.0
79,111.0
80,466.0
81,1115.0
82,93.0
83,32.0
84,57.0
85,382.0
86,591.0
87,476.0
88,1777.0
89,213.0
90,4296.0
91,142.0
92,279.0
93,2628.0
94,440.0
95,400.0
96,2540.0
97,114.0
98,414.0
99,763.0
100,282.0
101,394.0
102,53.0
103,484.0
104,660.0
105,384.0
106,2895.0
107,204.0
108,1334.0
109,133.0
110,122.0
111,66.0
112,402.0
113,57.0
114,207.0
115,1844.0
116,202.0
117,116.0
118,240.0
119,34.0
120,835.0
121,81.0
122,326.0
123,49.0
124,3709.0
125,964.0
126,783.0
127,1355.0
128,110.0
129,690.0
130,763.0
131,406.0
132,125.0
133,231.0
134,99.0
135,335.0
136,1144.0
137,28.0
138,1006.0
139,444.0
140,837.0
141,79.0
142,239.0
143,62.0
144,21.0
145,57.0
146,109.0
147,310.0
148,434.0
149,201.0
150,1108.0
151,75.0
152,198.0
153,194.0
154,51.0
155,387.0
156,143.0
157,146.0
158,142.0
159,109.0
160,136.0
161,279.0
162,47.0
163,53.0
164,57.0
165,51.0
166,205.0
167,111.0
168,29.0
169,24.0
170,107.0
171,48.0
172,116.0
173,17.0
174,103.0
175,39.0
176,67.0
177,18.0
178,109.0
179,66.0
180,185.0
181,124.0
182,27.0
183,220.0
184,165.0
185,74.0
186,48.0
