construct,filename,split,n_instances,n_voxels,shape,img_path,mask_path,vpi
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample1_1_1.tif,train,177,10847,43x158x202,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_1_1_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_1_1_masks.tif,61.282485875706215
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample1_1_2.tif,train,67,1941,43x139x182,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_1_2_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_1_2_masks.tif,28.970149253731343
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample1_1_3.tif,train,211,26116,43x151x178,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_1_3_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_1_3_masks.tif,123.77251184834124
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample1_1_4.tif,train,500,17189,43x368x428,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_1_4_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_1_4_masks.tif,34.378
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample1_2_1.tif,train,541,22166,46x267x274,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_2_1_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_2_1_masks.tif,40.97227356746765
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample1_2_2.tif,val,363,16278,46x183x273,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_2_2_img.tif,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_2_2_masks.tif,44.84297520661157
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample1_2_3.tif,train,216,7597,46x284x207,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_2_3_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample1_2_3_masks.tif,35.1712962962963
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_3.tif,train,218,6412,48x183x145,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_3_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_3_masks.tif,29.412844036697248
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_4.tif,train,181,5543,48x127x130,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_4_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_4_masks.tif,30.624309392265193
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_5.tif,train,386,25489,48x228x235,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_5_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_5_masks.tif,66.03367875647669
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_7.tif,train,50,1409,48x88x81,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_7_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_7_masks.tif,28.18
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_8.tif,train,98,4310,48x114x113,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_8_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_8_masks.tif,43.97959183673469
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_9.tif,train,140,7101,48x185x158,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_9_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_1_9_masks.tif,50.72142857142857
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_1.tif,train,261,25972,41x308x269,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_1_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_1_masks.tif,99.5095785440613
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_2.tif,train,189,11611,41x132x167,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_2_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_2_masks.tif,61.43386243386244
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_3.tif,val,151,10427,41x262x166,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_3_img.tif,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_3_masks.tif,69.05298013245033
