label,area,centroid-0,centroid-1,mean_intensity,z
1,17708.0,235.16286424215045,344.41054890444997,158.91246894059182,2
1,13512.0,232.77656897572527,349.75407045589105,168.2394908229722,3
1,15782.0,237.28038271448486,340.0652642250665,164.49055886452922,4
2,10458.0,911.1219162363741,540.1365461847389,151.89692101740295,4
3,5009.0,1019.5056897584349,430.67318826112995,160.10141744859254,4
4,6401.0,1197.2982346508359,461.7205124199344,163.9893766598969,4
5,5808.0,1428.0872933884298,1047.0678374655647,150.65616391184574,4
1,14027.0,236.34946888144293,344.0838383118272,172.16318528552077,5
2,6743.0,877.5028918878837,1051.291116713629,165.43052053981907,5
3,7281.0,904.1976376871309,541.4491141326741,158.09861282790825,5
4,3915.0,1015.709067688378,430.7619412515964,167.09220945083015,5
5,7805.0,1198.2020499679693,452.8271620755926,169.72453555413196,5
6,10731.0,1500.1718385984532,378.7146584661262,158.75277234181343,5
1,13777.0,239.60702620309212,343.1417580024679,169.5306670537853,6
2,8741.0,906.2905846013042,538.24413682645,151.54067040384396,6
3,3369.0,890.7557138616801,1149.1451469278718,152.54853072128228,6
4,2863.0,955.9294446384911,1158.9214111072301,152.2986377925253,6
5,3164.0,978.4478508217446,1113.5960809102403,150.49589127686474,6
6,3185.0,1013.5544740973312,429.94662480376763,163.20847723704867,6
7,6580.0,1087.8141337386019,462.8983282674772,166.60927051671732,6
8,4273.0,1175.363678914112,462.1137374210157,166.55885794523755,6
9,2883.0,1226.5601803676725,438.85709330558444,164.0013874436351,6
10,12986.0,1281.7343292776836,1624.542276297551,154.97836131218236,6
1,12174.0,239.64325611959916,343.6120420568424,179.79817644159684,7
2,9537.0,909.046555520604,537.1113557722555,157.62084512949565,7
3,2808.0,890.9088319088319,1147.8682336182337,159.48682336182335,7
4,2993.0,954.5081857667892,1151.560975609756,160.29201470096893,7
5,2223.0,979.7013045434098,1110.204678362573,155.98875393612235,7
6,3123.0,1017.9324367595261,430.9654178674352,174.15177713736793,7
7,8319.0,1080.619184998197,467.47842288736626,172.32912609688665,7
8,5500.0,1182.4201818181818,458.6752727272727,175.61890909090909,7
9,12066.0,1278.0210508867892,1624.297364495276,161.60061329355213,7
10,4282.0,1319.914759458197,999.8645492760393,161.99836524988322,7
11,2990.0,1355.891304347826,936.6591973244147,168.24247491638795,7
12,2584.0,1425.1184210526317,1045.468653250774,159.72716718266253,7
13,9521.0,1499.729755277807,391.307635752547,159.00567167314358,7
1,13033.0,242.0146551062687,333.04634389626335,178.84516228036523,8
2,3806.0,880.8328954282712,1047.2745664739884,174.91382028376248,8
3,6614.0,909.2450861808286,539.19609918355,157.53810099788328,8
4,1325.0,889.5041509433962,1146.0958490566038,162.3833962264151,8
5,1692.0,952.355791962175,1151.9739952718676,161.53546099290782,8
6,1812.0,1015.0623620309051,431.76931567328916,181.33940397350995,8
7,5963.0,1084.9626027167533,465.4169042428308,175.46436357538153,8
8,5952.0,1193.7110215053763,456.1891801075269,177.28511424731184,8
9,8023.0,1271.8332294652873,1624.1253895051727,163.88159042752088,8
10,3429.0,1320.2222222222222,1003.0154564012831,160.18664333624963,8
